"numero_zona","sigla_uf","endereco","cep","bairro","nome_municipio","sigla_uf"
"092","19-0092","RUA BENTO LISBOA, 65","28970000","CENTRO","ARARUAMA","RJ"
"093","19-0093","RUA JOSÉ ALVES PIMENTA, 869 - BAIRRO MATADOURO","27115010","MATADOURO","BARRA DO PIRAÍ","RJ"
"094","19-0094","RUA ARGEMIRO DE PAULA COUTINHO, 2000","27310020","BARBARÁ","BARRA MANSA","RJ"
"095","19-0095","RUA EXPEDICIONÁRIO PAULO MOREIRA, 67","28360000","CENTRO","BOM JESUS DO ITABAPOANA","RJ"
"096","19-0096","RUA RUI BARBOSA,  608, SOBRELOJA.","28907170","CENTRO","CABO FRIO","RJ"
"097","19-0097","RUA MARIA JACOB, 134 - ANEXO AO FORUM","28430000","CENTRO","CAMBUCI","RJ"
"098","19-0098","AV. ALBERTO TORRES, 81","28035581","CENTRO","CAMPOS DOS GOYTACAZES","RJ"
"101","19-0101","RUA OLÍVIA TEIXEIRA DA SILVA, 85","28500000","CENTRO","CANTAGALO","RJ"
"102","19-0102","RUA MANOEL GOULART, 42 - LOJAS 01 E 02","28640000","CENTRO","CARMO","RJ"
"103","19-0103","AVENIDA BRIGADEIRO LIMA E SILVA, 350","25085132","PARQUE DUQUE","DUQUE DE CAXIAS","RJ"
"104","19-0104","RUA DESEMBARGADOR FERREIRA PINTO, 09, CENTRO, ITABORAÍ/RJ","24800205","CENTRO","ITABORAÍ","RJ"
"105","19-0105","RUA MOISÉS ABRAÃO 124","23815460","CENTRO","ITAGUAÍ","RJ"
"106","19-0106","RUA JOAQUIM SOARES MONTEIRO, 001 - EDIFÍCIO DO FORUM","28570000","LOTEAMENTO RECREIO","ITAOCARA","RJ"
"107","19-0107","AVENIDA CARDOSO MOREIRA, 485","28300000","CENTRO","ITAPERUNA","RJ"
"108","19-0108","RUA MANOEL PORTUGAL, 156 - EDIFÍCIO DO FORUM - SALA 04","27460000","CENTRO","RIO CLARO","RJ"
"109","19-0109","RUA VISCONDE DE QUISSAMA 174","27910020","CENTRO","MACAÉ","RJ"
