NM_MUNICIPIO,NR_ZONA,DS_CARGO,NM_URNA_CANDIDATO,NR_PARTIDO,SG_PARTIDO,DS_SIT_TOT_TURNO,QT_VOTOS_NOMINAIS
RIO DE JANEIRO,234,Vereador,RAFAEL ALOISIO FREITAS,15,PMDB,ELEITO POR QP,48
RIO DE JANEIRO,213,Vereador,WILLIAN COELHO,15,PMDB,ELEITO POR QP,16
RIO DE JANEIRO,6,Vereador,THIAGO K. RIBEIRO,15,PMDB,ELEITO POR QP,72
RIO DE JANEIRO,164,Vereador,ROSA FERNANDES,15,PMDB,ELEITO POR QP,68
RIO DE JANEIRO,122,Vereador,MARCELINO D ALMEIDA,11,PP,ELEITO POR QP,546
RIO DE JANEIRO,23,Vereador,MARCELINO D ALMEIDA,11,PP,ELEITO POR QP,91
RIO DE JANEIRO,14,Vereador,THIAGO K. RIBEIRO,15,PMDB,ELEITO POR QP,158
RIO DE JANEIRO,232,Vereador,MARCELINO D ALMEIDA,11,PP,ELEITO POR QP,1207
RIO DE JANEIRO,234,Vereador,MARCELINO D ALMEIDA,11,PP,ELEITO POR QP,2921
RIO DE JANEIRO,190,Vereador,JUNIOR DA LUCINHA,15,PMDB,ELEITO POR QP,15
RIO DE JANEIRO,230,Vereador,JORGE FELIPPE,15,PMDB,ELEITO POR QP,693
RIO DE JANEIRO,13,Vereador,RAFAEL ALOISIO FREITAS,15,PMDB,ELEITO POR QP,90
RIO DE JANEIRO,122,Vereador,JAIRINHO,15,PMDB,ELEITO POR QP,451
RIO DE JANEIRO,3,Vereador,CHIQUINHO BRAZÃO,15,PMDB,ELEITO POR QP,35
RIO DE JANEIRO,177,Vereador,JUNIOR DA LUCINHA,15,PMDB,ELEITO POR QP,30
RIO DE JANEIRO,169,Vereador,THIAGO K. RIBEIRO,15,PMDB,ELEITO POR QP,176
RIO DE JANEIRO,209,Vereador,ROSA FERNANDES,15,PMDB,ELEITO POR QP,303
RIO DE JANEIRO,173,Vereador,THIAGO K. RIBEIRO,15,PMDB,ELEITO POR QP,88
RIO DE JANEIRO,9,Vereador,CHIQUINHO BRAZÃO,15,PMDB,ELEITO POR QP,977
RIO DE JANEIRO,165,Vereador,TÂNIA BASTOS ,10,PRB,ELEITO POR QP,105
RIO DE JANEIRO,14,Vereador,TÂNIA BASTOS ,10,PRB,ELEITO POR QP,43
RIO DE JANEIRO,180,Vereador,BISPO INALDO SILVA,10,PRB,ELEITO POR QP,316
RIO DE JANEIRO,19,Vereador,TÂNIA BASTOS ,10,PRB,ELEITO POR QP,336
